Sex,Year,Qualifiers,Under
M,2004,1,2:10
M,2008,4,2:10
M,2012,8,2:10
M,2016,2,2:10
M,2020,4,2:10
M,2004,2,2:11
M,2008,5,2:11
M,2012,11,2:11
M,2016,5,2:11
M,2020,8,2:11
M,2004,3,2:12
M,2008,6,2:12
M,2012,16,2:12
M,2016,9,2:12
M,2020,17,2:12
M,2004,5,2:13
M,2008,8,2:13
M,2012,19,2:13
M,2016,15,2:13
M,2020,27,2:13
M,2004,6,2:14
M,2008,8,2:14
M,2012,26,2:14
M,2016,22,2:14
M,2020,44,2:14
F,2004,1,2:28
F,2008,1,2:28
F,2012,5,2:28
F,2016,4,2:28
F,2020,12,2:28
F,2004,3,2:30
F,2008,1,2:30
F,2012,9,2:30
F,2016,10,2:30
F,2020,17,2:30
F,2004,6,2:32
F,2008,2,2:32
F,2012,16,2:32
F,2016,14,2:32
F,2020,28,2:32
F,2004,8,2:34
F,2008,5,2:34
F,2012,25,2:34
F,2016,24,2:34
F,2020,43,2:34